Temps[s] ; Tension Generateur[V] ; Courant[A] 
67.07695937156677 ; 0.3988 ; 0.1046 
67.57747626304626 ; 0.3988 ; 0.1046 
68.07795882225037 ; 0.3988 ; 0.1046 
68.5785698890686 ; 0.3988 ; 0.1046 
69.07919216156006 ; 0.3998 ; 0.1046 
69.57981777191162 ; 0.3998 ; 0.1056 
70.08035182952881 ; 0.3998 ; 0.1056 
70.5809097290039 ; 0.3998 ; 0.1056 
71.08155274391174 ; 0.3998 ; 0.1065 
71.58210587501526 ; 0.3998 ; 0.1065 
72.0827534198761 ; 0.4008 ; 0.1065 
72.58311414718628 ; 0.4008 ; 0.1065 
73.08373022079468 ; 0.4008 ; 0.1065 
73.58435606956482 ; 0.4008 ; 0.1065 
74.08473420143127 ; 0.4018 ; 0.1075 
74.58522033691406 ; 0.4018 ; 0.1075 
75.0857424736023 ; 0.4008 ; 0.1065 
75.58628439903259 ; 0.4018 ; 0.1085 
76.08682060241699 ; 0.4018 ; 0.1075 
76.58735513687134 ; 0.4027 ; 0.1085 
77.08787775039673 ; 0.4027 ; 0.1085 
77.58849000930786 ; 0.4027 ; 0.1085 
78.0891261100769 ; 0.4027 ; 0.1085 
78.58922743797302 ; 0.4037 ; 0.1095 
79.08985018730164 ; 0.4037 ; 0.1095 
79.59038758277893 ; 0.4037 ; 0.1095 
80.09080266952515 ; 0.4037 ; 0.1095 
80.59140014648438 ; 0.4047 ; 0.1095 
81.09202146530151 ; 0.4047 ; 0.1105 
81.59256196022034 ; 0.4057 ; 0.1105 
82.09311771392822 ; 0.4047 ; 0.1095 
82.59323024749756 ; 0.4057 ; 0.1105 
83.09332060813904 ; 0.4047 ; 0.1105 
83.59387922286987 ; 0.4057 ; 0.1105 
84.09449315071106 ; 0.4057 ; 0.1105 
84.5951075553894 ; 0.4057 ; 0.1114 
85.09563493728638 ; 0.4057 ; 0.1105 
85.59617471694946 ; 0.4057 ; 0.1114 
86.0967185497284 ; 0.4066 ; 0.1114 
86.59722685813904 ; 0.4066 ; 0.1114 
87.09731793403625 ; 0.4066 ; 0.1114 
87.59787678718567 ; 0.4066 ; 0.1124 
88.09841442108154 ; 0.4066 ; 0.1114 
88.59896564483643 ; 0.4066 ; 0.1124 
89.09957504272461 ; 0.4066 ; 0.1114 
89.60012531280518 ; 0.4066 ; 0.1124 
90.10067749023438 ; 0.4076 ; 0.1124 
90.60120511054993 ; 0.4076 ; 0.1124 
91.1013731956482 ; 0.4076 ; 0.1124 
91.60191774368286 ; 0.4076 ; 0.1124 
92.10243511199951 ; 0.4076 ; 0.1124 
92.60296773910522 ; 0.4076 ; 0.1134 
93.10351490974426 ; 0.4086 ; 0.1134 
93.60404968261719 ; 0.4076 ; 0.1134 
94.10460662841797 ; 0.4086 ; 0.1134 
94.605233669281 ; 0.4086 ; 0.1134 
95.10533571243286 ; 0.4086 ; 0.1144 
95.60587954521179 ; 0.4086 ; 0.1144 
96.10652112960815 ; 0.4086 ; 0.1134 
96.60714554786682 ; 0.4086 ; 0.1134 
97.10775876045227 ; 0.4096 ; 0.1144 
97.60830307006836 ; 0.4096 ; 0.1144 
98.1089186668396 ; 0.4096 ; 0.1153 
98.60919260978699 ; 0.4096 ; 0.1144 
99.10972785949707 ; 0.4106 ; 0.1153 
99.61033654212952 ; 0.4106 ; 0.1153 
100.11099290847778 ; 0.4106 ; 0.1153 
100.61165308952332 ; 0.4106 ; 0.1163 
101.11228227615356 ; 0.4115 ; 0.1163 
101.61293625831604 ; 0.4115 ; 0.1163 
102.11322236061096 ; 0.4115 ; 0.1163 
102.61336016654968 ; 0.4125 ; 0.1173 
103.11387920379639 ; 0.4125 ; 0.1173 
103.61449337005615 ; 0.4135 ; 0.1183 
104.11501669883728 ; 0.4135 ; 0.1183 
104.61557483673096 ; 0.4145 ; 0.1183 
105.11612153053284 ; 0.4145 ; 0.1193 
105.61665892601013 ; 0.4145 ; 0.1193 
106.11721658706665 ; 0.4154 ; 0.1202 
106.61776804924011 ; 0.4164 ; 0.1202 
107.1183226108551 ; 0.4174 ; 0.1212 
107.61893582344055 ; 0.4174 ; 0.1212 
108.11931085586548 ; 0.4184 ; 0.1222 
108.61994123458862 ; 0.4184 ; 0.1232 
109.12049198150635 ; 0.4194 ; 0.1241 
109.62103056907654 ; 0.4203 ; 0.1251 
110.12165784835815 ; 0.4213 ; 0.1251 
110.62222361564636 ; 0.4223 ; 0.1261 
111.1228437423706 ; 0.4223 ; 0.1271 
111.62339448928833 ; 0.4233 ; 0.1281 
112.12393283843994 ; 0.4242 ; 0.1281 
112.62447142601013 ; 0.4242 ; 0.129 
113.1250171661377 ; 0.4252 ; 0.13 
113.62533855438232 ; 0.4262 ; 0.13 
114.12590432167053 ; 0.4262 ; 0.13 
114.6266622543335 ; 0.4262 ; 0.13 
115.12735080718994 ; 0.4272 ; 0.131 
115.6279833316803 ; 0.4272 ; 0.131 
116.12853598594666 ; 0.4282 ; 0.131 
116.62917256355286 ; 0.4282 ; 0.132 
117.12982869148254 ; 0.4282 ; 0.132 
117.63036465644836 ; 0.4282 ; 0.132 
118.13088726997375 ; 0.4282 ; 0.1329 
118.63142704963684 ; 0.4291 ; 0.132 
119.13207864761353 ; 0.4282 ; 0.132 
119.63260436058044 ; 0.4291 ; 0.132 
120.13291645050049 ; 0.4291 ; 0.132 
120.63322591781616 ; 0.4291 ; 0.1329 
121.13378405570984 ; 0.4291 ; 0.1329 
121.63440775871277 ; 0.4291 ; 0.1329 
122.1349356174469 ; 0.4291 ; 0.1329 
122.63547921180725 ; 0.4301 ; 0.1329 
123.13611149787903 ; 0.4291 ; 0.1329 
123.63672995567322 ; 0.4291 ; 0.1329 
124.13734078407288 ; 0.4291 ; 0.1329 
124.63789391517639 ; 0.4291 ; 0.1339 
125.13858485221863 ; 0.4301 ; 0.1329 
125.63913083076477 ; 0.4291 ; 0.1329 
126.1397476196289 ; 0.4291 ; 0.1329 
126.64028096199036 ; 0.4291 ; 0.1329 
127.14080333709717 ; 0.4301 ; 0.1329 
127.64129590988159 ; 0.4301 ; 0.1339 
128.14184713363647 ; 0.4301 ; 0.1329 
128.64239192008972 ; 0.4301 ; 0.1339 
129.14291954040527 ; 0.4301 ; 0.1339 
129.64347124099731 ; 0.4301 ; 0.1329 
130.14401841163635 ; 0.4301 ; 0.1329 
130.64456844329834 ; 0.4301 ; 0.1339 
131.14510035514832 ; 0.4301 ; 0.1329 
131.6452112197876 ; 0.4301 ; 0.1329 
132.14584755897522 ; 0.4301 ; 0.1339 
132.6463873386383 ; 0.4301 ; 0.1339 
133.14693927764893 ; 0.4301 ; 0.1329 
133.64746260643005 ; 0.4301 ; 0.1339 
134.14798140525818 ; 0.4301 ; 0.1329 
134.64851665496826 ; 0.4301 ; 0.1339 
135.14915251731873 ; 0.4301 ; 0.1329 
135.64968538284302 ; 0.4301 ; 0.1329 
136.15021657943726 ; 0.4301 ; 0.1339 
136.65077137947083 ; 0.4301 ; 0.1329 
