Temps[s] ; Tension Generateur[V] ; Courant[A] 
49.0570387840271 ; 0.0704 ; 0.0 
49.55767226219177 ; 0.0704 ; 0.0 
50.057982206344604 ; 0.0704 ; 0.0 
50.55863404273987 ; 0.0694 ; 0.0 
51.05926203727722 ; 0.0704 ; 0.0 
51.55990982055664 ; 0.0694 ; 0.0 
52.06056237220764 ; 0.0694 ; 0.0 
52.561254262924194 ; 0.0684 ; 0.0 
53.06192874908447 ; 0.0694 ; 0.0 
53.562499046325684 ; 0.0684 ; 0.0 
54.06306266784668 ; 0.0684 ; 0.0 
54.56371331214905 ; 0.0684 ; 0.0 
55.06431293487549 ; 0.0684 ; 0.0 
55.564977407455444 ; 0.0684 ; 0.0 
56.065662145614624 ; 0.0674 ; 0.0 
56.56631374359131 ; 0.0684 ; 0.0 
57.066951751708984 ; 0.0684 ; 0.0 
57.567628145217896 ; 0.0684 ; 0.0 
58.068283796310425 ; 0.0674 ; 0.0 
58.56895589828491 ; 0.0674 ; 0.0 
59.06963348388672 ; 0.0674 ; 0.0 
59.570282220840454 ; 0.0674 ; 0.0 
60.07093167304993 ; 0.0674 ; 0.0 
60.5715606212616 ; 0.0674 ; 0.0 
61.072200298309326 ; 0.0674 ; 0.0 
61.57287096977234 ; 0.0674 ; 0.0 
62.073505878448486 ; 0.0665 ; 0.0 
62.57413363456726 ; 0.0674 ; 0.0 
63.074707984924316 ; 0.0674 ; 0.0 
63.575347661972046 ; 0.0665 ; 0.0 
64.07598280906677 ; 0.0674 ; 0.0 
64.57662606239319 ; 0.0665 ; 0.0 
65.07718706130981 ; 0.0665 ; 0.0 
65.57786774635315 ; 0.0665 ; 0.0 
66.07802248001099 ; 0.0665 ; 0.0 
66.57857513427734 ; 0.0665 ; 0.0 
67.07921385765076 ; 0.0655 ; 0.0 
67.57976627349854 ; 0.0655 ; 0.0 
68.08010983467102 ; 0.0655 ; 0.0 
68.58086609840393 ; 0.0655 ; 0.0 
69.08152103424072 ; 0.0655 ; 0.0 
69.58199214935303 ; 0.0655 ; 0.0 
70.08257865905762 ; 0.0655 ; 0.0 
70.58322501182556 ; 0.0655 ; 0.0 
71.08377265930176 ; 0.0645 ; 0.0 
71.58442282676697 ; 0.0645 ; 0.0 
72.08509826660156 ; 0.0645 ; 0.0 
72.58577251434326 ; 0.0655 ; 0.0 
73.08642625808716 ; 0.0655 ; 0.0 
73.58697199821472 ; 0.0645 ; 0.0 
74.08761715888977 ; 0.0645 ; 0.0 
74.58831834793091 ; 0.0655 ; 0.0 
75.08888792991638 ; 0.0645 ; 0.0 
75.58955144882202 ; 0.0645 ; 0.0 
76.09018206596375 ; 0.0645 ; 0.0 
76.59082365036011 ; 0.0645 ; 0.0 
77.09140372276306 ; 0.0645 ; 0.0 
77.59197211265564 ; 0.0645 ; 0.0 
78.09263396263123 ; 0.0645 ; 0.0 
78.5931966304779 ; 0.0645 ; 0.0 
79.09388422966003 ; 0.0635 ; 0.0 
79.59397029876709 ; 0.0645 ; 0.0 
80.09453701972961 ; 0.0645 ; 0.0 
80.59509229660034 ; 0.0645 ; 0.0 
81.09564018249512 ; 0.0635 ; 0.0 
81.59585452079773 ; 0.0645 ; 0.0 
82.09614753723145 ; 0.0645 ; 0.0 
82.59680223464966 ; 0.0635 ; 0.0 
83.09725165367126 ; 0.0635 ; 0.0 
83.59781861305237 ; 0.0645 ; 0.0 
84.09793710708618 ; 0.0635 ; 0.0 
84.59850668907166 ; 0.0635 ; 0.0 
85.09917998313904 ; 0.0635 ; 0.0 
85.59983563423157 ; 0.0635 ; 0.0 
86.1005072593689 ; 0.0626 ; 0.0 
86.60117626190186 ; 0.0635 ; 0.0 
87.10183477401733 ; 0.0635 ; 0.0 
87.60243082046509 ; 0.0635 ; 0.0 
88.10331439971924 ; 0.0645 ; 0.0 
88.60392928123474 ; 0.0635 ; 0.0 
89.10456871986389 ; 0.0635 ; 0.0 
89.6052451133728 ; 0.0626 ; 0.0 
90.10603427886963 ; 0.0635 ; 0.0 
90.60658979415894 ; 0.0635 ; 0.0 
91.10704970359802 ; 0.0635 ; 0.0 
91.60768747329712 ; 0.0635 ; 0.0 
92.10833716392517 ; 0.0635 ; 0.0 
92.6089985370636 ; 0.0635 ; 0.0 
93.10955762863159 ; 0.0635 ; 0.0 
93.61020517349243 ; 0.0635 ; 0.0 
94.11084699630737 ; 0.0635 ; 0.0 
94.61140370368958 ; 0.0626 ; 0.0 
